epoch,dis_loss,gen_loss,dis_accuracy,dis_recall,dis_precision,gen_mse,time
1,1.9557,6.3167,0.4743,0.6173,0.6872,6.4865,"03/13/2023, 14:16:05"
2,1.3463,3.4362,0.4828,0.6598,0.6722,0.429,"03/13/2023, 14:16:28"
3,1.3794,0.8833,0.4719,0.6966,0.6215,0.0141,"03/13/2023, 14:16:51"
4,1.394,0.7136,0.4843,0.6812,0.6407,0.0032,"03/13/2023, 14:17:14"
5,1.3914,0.7138,0.4854,0.6601,0.6626,0.0028,"03/13/2023, 14:17:36"
6,1.3893,0.715,0.4659,0.6218,0.6693,0.0027,"03/13/2023, 14:17:59"
7,1.3886,0.7188,0.4604,0.5953,0.6881,0.0025,"03/13/2023, 14:18:22"
8,1.3879,0.7187,0.4616,0.6063,0.6797,0.0025,"03/13/2023, 14:18:45"
9,1.3874,0.7189,0.4622,0.6084,0.6801,0.0025,"03/13/2023, 14:19:08"
10,1.3871,0.7211,0.4752,0.6332,0.678,0.0023,"03/13/2023, 14:19:31"
11,1.3868,0.7218,0.4674,0.6237,0.669,0.0022,"03/13/2023, 14:19:54"
12,1.3868,0.7235,0.4505,0.5886,0.6815,0.002,"03/13/2023, 14:20:16"
13,1.3866,0.7235,0.4715,0.671,0.6298,0.002,"03/13/2023, 14:20:39"
14,1.3866,0.7238,0.4589,0.6162,0.6716,0.002,"03/13/2023, 14:21:03"
15,1.3866,0.7245,0.457,0.6664,0.6114,0.0019,"03/13/2023, 14:21:25"
16,1.3864,0.7251,0.4616,0.6482,0.6376,0.0019,"03/13/2023, 14:21:48"
17,1.3864,0.7259,0.4572,0.5987,0.677,0.0019,"03/13/2023, 14:22:11"
18,1.3864,0.7263,0.4538,0.6398,0.6359,0.0019,"03/13/2023, 14:22:34"
19,1.3864,0.7265,0.4492,0.6273,0.6397,0.0019,"03/13/2023, 14:22:57"
20,1.3863,0.7267,0.4587,0.6458,0.6263,0.0019,"03/13/2023, 14:23:20"
21,1.3863,0.7271,0.4117,0.5082,0.6933,0.0019,"03/13/2023, 14:23:43"
22,1.3863,0.7274,0.4127,0.6559,0.5419,0.0019,"03/13/2023, 14:24:06"
23,1.3863,0.7275,0.4357,0.6499,0.5835,0.002,"03/13/2023, 14:24:29"
24,1.3863,0.7277,0.4437,0.6665,0.583,0.002,"03/13/2023, 14:24:51"
25,1.3863,0.7277,0.4157,0.6684,0.54,0.0021,"03/13/2023, 14:25:14"
26,1.3863,0.7277,0.4402,0.603,0.6477,0.0021,"03/13/2023, 14:25:37"
27,1.3863,0.7278,0.4362,0.5836,0.663,0.0021,"03/13/2023, 14:26:00"
28,1.3863,0.7278,0.3916,0.6107,0.5428,0.0022,"03/13/2023, 14:26:23"
29,1.3863,0.7277,0.3672,0.6646,0.4536,0.0022,"03/13/2023, 14:26:45"
30,1.3863,0.7277,0.4563,0.66,0.6064,0.0022,"03/13/2023, 14:27:08"
31,1.3863,0.7278,0.3515,0.4635,0.5949,0.0022,"03/13/2023, 14:27:31"
32,1.3863,0.7278,0.3326,0.4269,0.6036,0.0022,"03/13/2023, 14:27:54"
33,1.3863,0.7278,0.381,0.4943,0.6295,0.0022,"03/13/2023, 14:28:16"
34,1.3863,0.7278,0.3887,0.4868,0.662,0.0022,"03/13/2023, 14:28:40"
35,1.3863,0.7278,0.3771,0.478,0.6461,0.0022,"03/13/2023, 14:29:03"
36,1.3863,0.7278,0.3571,0.4514,0.6366,0.0022,"03/13/2023, 14:29:25"
37,1.3863,0.7278,0.3624,0.4383,0.6819,0.0022,"03/13/2023, 14:29:49"
38,1.3863,0.7278,0.3524,0.4301,0.6785,0.0022,"03/13/2023, 14:30:09"
39,1.3863,0.7278,0.342,0.421,0.6889,0.0022,"03/13/2023, 14:30:29"
40,1.3863,0.7278,0.3036,0.4696,0.6409,0.0022,"03/13/2023, 14:30:49"
