x,y,z,time,vx,vy,vz,px,py,pz,distance
-117.0,87.0,-33.0,303.0,0.5269739,-0.049908202,0.14960746,2.0463812,11.025826,-6.4781404,149.58998
-121.0,83.0,-33.0,303.0,0.53056604,-0.052304924,0.2567426,9.901219,10.893388,-6.332528,149.782
121.0,83.0,-33.0,303.0,0.4991561,-0.039290708,0.014284899,3.223594,17.50396,-3.7367265,149.44662
-125.0,75.0,-33.0,303.0,0.51803213,-0.050298873,0.21260533,7.839618,11.800776,-4.667294,149.64316
-125.0,-76.0,-33.0,303.0,0.5234016,-0.058344733,0.44738963,5.7334623,4.7800636,-2.159719,149.98154
121.0,-83.0,-33.0,303.0,0.5005807,-0.03929704,0.2356053,5.047581,6.992388,-0.60031563,149.91756
-121.0,83.0,-29.0,303.0,0.53045565,-0.05047791,0.11486756,0.05806068,13.10996,-7.8502007,149.50507
125.0,79.0,-29.0,303.0,0.5052569,-0.043360353,-0.005315408,2.3424492,14.992518,-3.6873631,149.4372
-121.0,-83.0,-29.0,303.0,0.5208452,-0.046681903,0.37175322,6.674101,3.8933349,-1.4950845,149.96129
121.0,-83.0,-29.0,303.0,0.50964594,-0.03563754,0.18126607,6.4139433,7.287382,-1.6410347,149.72226
-125.0,79.0,-25.0,303.0,0.5250288,-0.045232717,0.21913552,5.643926,9.6227665,-4.9589443,149.59576
125.0,79.0,-25.0,303.0,0.50179297,-0.049414907,0.025440793,2.108274,17.071104,-3.5729065,149.44179
-125.0,-80.0,-25.0,303.0,0.511416,-0.05145817,0.34528172,5.221449,5.150988,-1.5184745,150.03954
125.0,-80.0,-25.0,303.0,0.4867075,-0.04028259,0.22314675,15.46318,9.82797,2.7744687,149.89084
121.0,87.0,-21.0,303.0,0.5068787,-0.036923908,0.013914649,5.832999,15.210878,-4.244336,149.3525
-125.0,-80.0,-21.0,303.0,0.52292544,-0.050286338,0.33496687,6.078442,4.616536,-2.3088336,149.98909
-121.0,87.0,-17.0,303.0,0.5323904,-0.04773141,0.24585968,8.367107,8.028394,-5.596762,149.8111
121.0,87.0,-17.0,303.0,0.5228323,-0.041279573,0.09383015,2.8244421,11.319282,-5.1762776,149.45258
-121.0,87.0,-13.0,303.0,0.5229196,-0.0434218,0.12067904,4.4281697,13.408941,-6.4386024,149.43219
125.0,83.0,-13.0,303.0,0.50343263,-0.047385685,-0.096221276,4.3174105,20.852915,-4.93679,149.24911
-125.0,83.0,-9.0,303.0,0.5346777,-0.061630532,0.1884211,2.608968,13.961225,-7.704296,149.45912
125.0,83.0,-9.0,303.0,0.5132597,-0.05242822,0.06676034,5.6985817,15.874985,-3.865228,149.35475
125.0,-83.0,-9.0,303.0,0.4861825,-0.04777379,0.1860585,10.967755,10.058026,2.3621905,149.86412
-125.0,83.0,-5.0,303.0,0.5238864,-0.04872086,0.20995536,8.679339,10.438489,-4.7630095,149.5722
125.0,83.0,-5.0,303.0,0.51602775,-0.041876085,0.120913506,5.2537503,10.873088,-3.495643,149.48495
-125.0,-83.0,-5.0,303.0,0.51500106,-0.061579123,0.26774076,9.29625,10.574468,-2.9523635,149.77557
125.0,-83.0,-5.0,303.0,0.51167345,-0.044194322,0.1420061,3.5457726,10.164422,-2.469993,149.54878
-125.0,83.0,-1.0,303.0,0.53163826,-0.05281648,0.20945232,12.505682,11.152993,-5.9702606,149.67215
125.0,83.0,-1.0,303.0,0.51369387,-0.05217658,0.087785706,2.486359,15.39197,-4.6232686,149.40034
-125.0,-83.0,-1.0,303.0,0.54126835,-0.060234226,0.3730194,8.410166,5.6199245,-4.061646,149.72116
125.0,-83.0,-1.0,303.0,0.5047345,-0.043150913,0.10822763,8.745763,11.344686,-1.1592226,149.56177
-125.0,83.0,3.0,303.0,0.5184935,-0.055970218,0.21193281,6.77113,12.627229,-5.0334044,149.79381
125.0,83.0,3.0,303.0,0.5039116,-0.043568302,-0.021207718,5.2889266,16.429728,-3.516314,149.42766
-125.0,-83.0,3.0,303.0,0.52684206,-0.060755435,0.35854408,10.564685,7.403382,-2.5516493,149.84285
125.0,-83.0,3.0,303.0,0.5062322,-0.047727097,0.15850481,5.556976,10.643363,-1.3733807,149.62582
-125.0,83.0,7.0,303.0,0.5276913,-0.05713511,0.20106407,8.158071,12.758574,-5.8271255,149.64796
125.0,83.0,7.0,303.0,0.5167953,-0.036226816,0.0053707,6.0927277,15.442642,-5.5976048,149.33783
125.0,-83.0,7.0,303.0,0.5010458,-0.049706742,0.13567777,6.2049603,12.427233,-1.2563772,149.6705
-125.0,83.0,11.0,303.0,0.52595145,-0.049382895,0.19501954,2.226416,12.465546,-6.3725643,149.29184
125.0,83.0,11.0,303.0,0.51750094,-0.056088354,-0.06275618,5.8319206,20.144814,-5.0262485,149.0933
125.0,-83.0,11.0,303.0,0.49402744,-0.04273355,0.104574665,13.312134,12.887578,0.6552102,149.60857
-121.0,87.0,14.0,303.0,0.519062,-0.05045821,0.13062859,8.866804,11.249058,-4.4895134,149.65733
125.0,83.0,14.0,303.0,0.5136496,-0.04242113,0.082604125,7.0479236,13.637304,-4.1310787,149.3584
-121.0,87.0,18.0,303.0,0.5269484,-0.049711652,0.11810694,10.180771,13.723843,-6.1518335,149.40762
121.0,87.0,18.0,303.0,0.51638347,-0.042759877,-0.07807501,6.835182,18.593449,-5.99615,149.11462
121.0,87.0,22.0,303.0,0.5144875,-0.052416455,-0.017104283,8.839669,17.739445,-3.9744701,149.28212
-125.0,79.0,22.0,303.0,0.53837246,-0.05639769,0.18883157,11.494978,11.51845,-6.376732,149.5683
-125.0,-80.0,22.0,303.0,0.49292278,-0.07172054,0.22133754,9.372469,15.813918,-0.32733008,149.61003
-125.0,79.0,26.0,303.0,0.52553517,-0.05096127,0.07991684,16.487633,14.433096,-5.6011267,149.4337
125.0,79.0,26.0,303.0,0.5090655,-0.050141577,-0.059479892,8.38135,18.912422,-4.2371807,149.14742
125.0,-80.0,26.0,303.0,0.5059318,-0.04760439,0.10688022,8.884654,12.595203,-1.4401718,149.49031
-121.0,83.0,30.0,303.0,0.53861713,-0.054926578,0.049735516,13.47591,14.21285,-7.321975,149.33493
-121.0,-83.0,30.0,303.0,0.5226687,-0.05943942,0.21553408,11.066905,10.321302,-3.4143465,149.68271
121.0,-83.0,30.0,303.0,0.50117534,-0.049472675,0.15684429,8.833177,11.074309,-0.17978194,149.69078
-117.0,87.0,34.0,303.0,0.53169894,-0.045596223,0.104003884,8.974957,10.268132,-6.2938404,149.55666
121.0,83.0,34.0,303.0,0.5186943,-0.0459543,-0.04112418,5.0713267,15.605852,-5.2887974,149.23856
-125.0,75.0,34.0,303.0,0.5317153,-0.044551123,0.1467604,8.896143,8.97293,-5.349886,149.5888
-125.0,-76.0,34.0,303.0,0.51725745,-0.06597396,0.20785429,8.683064,12.320985,-3.1167107,149.65002
125.0,-76.0,34.0,303.0,0.50269777,-0.056788746,0.13445134,8.572441,13.899697,-0.8511772,149.58183
